FID,TRIP_ID,FISHING_EV,FE_MAJOR_L,SLAT,SLON,ELAT,ELON,startX,startY,endX,endY
0,147,117353,1,48.310666,-125.929516,48.30225,-125.937566,727653.3081,5355387.694,727093.8914,5354428.52
1,147,117361,2,48.309883,-125.976333,48.30235,-125.985133,724185.985,5355162.708,723566.5135,5354299.838
2,147,117363,3,48.20805,-126.105283,48.208633,-126.12105,715053.1028,5343476.476,713879.4281,5343497.232
3,147,117365,4,48.295766,-126.09655,48.296966,-126.113333,715332.955,5353249.259,714083.352,5353335.631
4,147,117367,5,48.27275,-125.91795,48.267633,-125.932916,728680.1236,5351208.381,727592.5458,5350595.203
5,147,117369,6,48.347783,-125.99165,48.346566,-126.0115,722885.0971,5359330.031,721419.8654,5359137.226
6,147,117371,7,48.3554,-126.080633,48.338983,-126.110766,716260.8663,5359921.534,714097.6983,5358012.393
7,147,117719,8,48.422733,-126.0525,48.424616,-126.069266,718056.6117,5367484.459,716808.374,5367646.096
8,147,117780,9,48.42325,-126.20355,48.423116,-126.21925,706880.886,5367122.589,705720.0524,5367065.379
9,147,117806,10,48.433666,-126.440083,48.433883,-126.4565,689344.9397,5367667.96,688129.9455,5367651.592
10,147,117807,11,48.500066,-126.250666,48.502566,-126.267716,703088.6998,5375533.599,701819.4296,5375766.297
11,147,117884,12,48.642366,-126.198783,48.64235,-126.215883,706340.6374,5391488.025,705081.2236,5391440.132
12,147,117962,13,48.755066,-126.453366,48.742833,-126.453633,687170.8845,5403356.779,687196.7225,5401996.472
13,147,118252,14,48.967816,-126.717566,48.9672,-126.7586,667044.4662,5426388.506,664043.5452,5426230.562
14,147,118946,15,48.810083,-126.487416,48.810083,-126.502683,684466.6661,5409388.633,683345.901,5409351.735
15,147,118948,16,48.734483,-126.541083,48.7259,-126.550483,680798.2962,5400857.176,680137.864,5399880.937
16,147,118949,17,48.815383,-126.82785,48.8162,-126.84325,659457.8718,5409208.424,658324.8523,5409267.08
17,147,118950,18,48.86985,-126.812033,48.870316,-126.82945,660444.778,5415295.772,659166.1836,5415310.964
18,147,118952,19,48.996366,-126.752966,48.99705,-126.770516,664359.8799,5429484.643,663074.0369,5429522.81
19,147,118953,20,49.106233,-126.861533,49.1071,-126.881433,656074.8142,5441467.502,654619.8233,5441523.072
20,147,119082,21,49.18095,-127.0916,49.17485,-127.106883,639075.1251,5449324.562,637978.3921,5448618.516
21,147,119212,22,49.307916,-127.1257,49.308133,-127.140933,636240.3468,5463376.163,635132.5449,5463372.924
22,147,119291,23,49.31055,-127.31005,49.311116,-127.327516,622834.253,5463352.855,621563.3953,5463387.521
23,147,119620,24,49.361933,-127.306766,49.362916,-127.324733,622944.8584,5469070.165,621637.9147,5469150.332
24,147,119697,25,49.34475,-127.2223,49.348333,-127.240916,629122.5833,5467301.037,627761.2009,5467667.668
25,147,119826,26,49.39985,-127.282683,49.390366,-127.28835,624597.509,5473324.714,624210.2857,5472261.078
26,147,119827,27,49.3677,-127.245116,49.3753,-127.282383,627406.1207,5469813.489,624681.3997,5470596.104
27,147,120204,28,49.618916,-127.630783,49.61855,-127.649233,598899.7368,5497161.699,597567.8477,5497096.91
28,147,120206,29,49.5867,-127.544833,49.5849,-127.562933,605177.0614,5493696.788,603872.6893,5493471.535
29,147,120207,30,49.601883,-127.491783,49.602383,-127.50795,608977.4486,5495460.204,607808.2285,5495492.492
30,147,120208,31,49.653783,-127.464733,49.65255,-127.482783,610814.081,5501269.52,609514.0659,5501105.99
31,147,120367,32,49.728433,-127.663283,49.719766,-127.67425,596335.7091,5509294.842,595562.3657,5508317.28
32,147,120443,33,49.7318,-127.774433,49.71995,-127.780983,588319.3503,5509532.487,587868.7309,5508207.377
33,147,122414,34,52.125283,-127.618633,52.130516,-127.605133,594564.3903,5775872.592,595477.3298,5776472.268
34,147,122416,35,52.226666,-127.425283,52.2335,-127.41385,607554.9589,5787417.554,608319.1596,5788194.637
35,147,122417,36,52.271833,-127.263466,52.275883,-127.248033,618486.0259,5792693.287,619528.0613,5793169.068
36,147,122418,37,52.4472,-127.2667,52.438383,-127.254133,617798.0249,5812191.752,618675.7269,5811231.705
37,147,122420,38,52.341033,-127.4748,52.3498,-127.466983,603905.1838,5800064.931,604417.0299,5801051.244
38,147,123061,39,50.170533,-128.199716,50.168733,-128.2192,557150.5512,5557898.143,555761.2536,5557683.264
39,147,123063,40,50.140266,-128.411383,50.1405,-128.432916,542061.4673,5554392.158,540522.5709,5554406.263
40,147,123064,41,50.365733,-128.43375,50.366133,-128.450983,540272.6715,5579449.121,539046.7098,5579484.41
41,147,123065,42,50.47345,-128.5455,50.473933,-128.566016,532251.6257,5591371.864,530795.4882,5591416.864
42,147,123066,43,50.52625,-128.648466,50.525583,-128.675133,524917.3138,5597203.254,523027.4412,5597120.475
43,147,123067,44,50.6357,-128.651383,50.635566,-128.67125,524653.346,5609372.61,523248.4693,5609351.289
44,147,123068,45,50.675116,-128.872,50.67315,-128.890816,509044.2856,5613705.386,507715.0983,5613484.643
45,147,123733,46,51.391566,-129.853516,51.390683,-129.867466,440615.116,5693715.624,439643.3745,5693628.819
46,147,123734,47,51.12695,-129.482033,51.1248,-129.500616,466268.4072,5664052.832,464966.3908,5663822.423
47,147,123735,48,51.014816,-129.5855,51.016666,-129.603666,458928.9342,5651635.607,457656.3384,5651851.611
48,147,123837,49,50.92115,-129.59045,50.920533,-129.608333,458498.3263,5641222.535,457240.8062,5641164.132
49,147,123838,50,50.92105,-129.511383,50.92255,-129.529983,464055.6947,5641169.932,462749.5353,5641345.957
50,147,123889,51,50.829283,-129.519233,50.819966,-129.51725,463432.1907,5630969.251,463564.595,5629932.226
51,147,125740,52,54.360016,-133.673266,54.358633,-133.692766,196426.9181,6033649.223,195150.8639,6033579.776
52,147,125741,53,54.338816,-133.795516,54.335883,-133.8138,188330.8943,6031827.129,187121.1786,6031582.246
53,147,125742,54,54.320383,-133.8476,54.317966,-133.866583,184807.3016,6030010.321,183555.3937,6029826.832
54,147,125743,55,54.223966,-133.833583,54.223383,-133.852516,184982.381,6019231.965,183744.9399,6019251.928
55,147,125744,56,54.148316,-133.7918,54.1491,-133.8104,187131.9136,6010638.281,185924.3169,6010808.03
56,147,125745,57,54.166783,-133.51835,54.16825,-133.53465,205105.5904,6011513.406,204052.9404,6011744.704
57,147,126345,58,53.9519,-133.482583,53.95185,-133.505966,205922.404,5987479.129,204388.9934,5987570.998
58,147,126346,59,53.955316,-133.775833,53.956416,-133.796616,186722.8651,5989117.41,185368.8532,5989331.893
59,147,126347,60,53.914116,-133.865516,53.916383,-133.887433,180529.2514,5984939.479,179108.6587,5985290.568
60,147,126398,61,53.7831,-133.4534,53.781683,-133.472066,206655.4909,5968595.218,205416.7818,5968515.086
61,147,126399,62,53.75335,-133.4671,53.751716,-133.485683,205545.2391,5965345.142,204309.5794,5965240.809
62,147,126400,63,53.718416,-133.30495,53.722483,-133.3484,215991.681,5960801.069,213154.5346,5961427.881
63,147,127250,64,53.1396,-132.691116,53.14435,-132.7082,253135.3944,5894166.067,252020.6363,5894753.257
64,147,127251,65,53.071,-132.819983,53.06835,-132.84045,244112.9466,5886991.951,242726.6966,5886770.685
65,147,127252,66,53.075716,-132.739933,53.073733,-132.76075,249500.4647,5887233.172,248095.1203,5887085.746
66,147,127253,67,53.1155,-132.6599,53.104066,-132.65965,255085.2358,5891379.353,255036.9295,5890107.261
67,147,127254,68,53.062266,-132.637983,53.062266,-132.6608,256250.45,5885385.965,254722.2584,5885463.871
68,147,127255,69,52.992333,-132.5301,52.992233,-132.552683,263092.9509,5877248.798,261577.3754,5877312.554
69,147,127256,70,52.922733,-132.410416,52.918366,-132.429783,270754.2502,5869121.359,269429.6218,5868697.862
70,147,127257,71,52.888033,-132.375516,52.887016,-132.3983,272917.9423,5865152.226,271380.3206,5865111.465
71,147,128227,72,51.795666,-130.435833,51.794666,-130.452233,400983.5474,5739287.027,399850.4283,5739198.219
72,147,128228,73,51.763066,-130.32985,51.762683,-130.3456,408225.7974,5735522.892,407138.1355,5735500.234
73,147,128229,74,51.618716,-130.110466,51.6172,-130.128633,423121.0358,5719216.143,421860.7446,5719066.815
74,147,128230,75,51.562983,-130.3105,51.563066,-130.329433,409161.8336,5713247.54,407849.701,5713280.455
75,147,128231,76,51.5257,-130.4313,51.525483,-130.448183,400707.7557,5709258.386,399536.1252,5709257.299
76,147,128232,77,51.52035,-130.371333,51.5205,-130.3874,404856.4581,5708583.764,403742.0892,5708621.457
77,147,128483,78,51.497666,-130.2815,51.49765,-130.298533,411044.6906,5705948.17,409862.3585,5705967.226
78,147,128609,79,51.384066,-130.191183,51.383,-130.208416,417108.4268,5693209.188,415907.3087,5693110.266
79,147,128961,80,51.204033,-130.072883,51.204,-130.090766,425047.8298,5673061.489,423798.4916,5673076.205
80,147,128962,81,51.218616,-130.0256,51.2185,-130.042983,428373.5967,5674636.027,427159.4389,5674640.212
